city,state,county_name,lat,lng,population
Chattanooga,Tennessee,Hamilton,35.0657,-85.2488,415501
Spokane,Washington,Spokane,47.6671,-117.433,412275
Syracuse,New York,Onondaga,43.0409,-76.1438,404223
Lancaster,Pennsylvania,Lancaster,40.0421,-76.3012,401524
Arlington,Texas,Tarrant,32.6998,-97.125,398854
Stockton,California,San Joaquin,37.9765,-121.3109,397264
Poughkeepsie,New York,Dutchess,41.6949,-73.921,394760
Augusta,Georgia,Richmond,33.3645,-82.0708,390809
Boise,Idaho,Ada,43.6007,-116.2312,389280
Oxnard,California,Ventura,34.1963,-119.1815,387647
Scranton,Pennsylvania,Lackawanna,41.4044,-75.6649,384250
Modesto,California,Stanislaus,37.6374,-121.0028,383134
Kissimmee,Florida,Osceola,28.3042,-81.4164,382720
Aurora,Colorado,Adams,39.7087,-104.7273,379289
Youngstown,Ohio,Mahoning,41.0993,-80.6463,378732
Fayetteville,Arkansas,Washington,36.0713,-94.166,351246
Anaheim,California,Orange,33.839,-117.8572,350365
Pensacola,Florida,Escambia,30.4427,-87.1886,346921
Victorville,California,San Bernardino,34.5277,-117.3536,346789
Lancaster,California,Los Angeles,34.6935,-118.1753,343304
Greensboro,North Carolina,Guilford,36.0956,-79.8269,343090
Corpus Christi,Texas,Nueces,27.726,-97.3755,342464
Fort Wayne,Indiana,Allen,41.0886,-85.1437,334122
Santa Ana,California,Orange,33.7366,-117.8819,332318
Flint,Michigan,Genesee,43.0235,-83.6922,332190
Fayetteville,North Carolina,Cumberland,35.0846,-78.9776,327435
Jackson,Mississippi,Hinds,32.3163,-90.2124,325350
Santa Rosa,California,Sonoma,38.4458,-122.7067,324634
Lansing,Michigan,Ingham,42.7142,-84.5601,324286
San Juan,Puerto Rico,San Juan,18.4037,-66.0636,323279
Lexington,Kentucky,Fayette,38.0423,-84.4587,323152
Ann Arbor,Michigan,Washtenaw,42.2755,-83.7312,322267
Henderson,Nevada,Clark,36.0133,-115.038,320189
Huntsville,Alabama,Madison,34.6988,-86.6412,319249
Mobile,Alabama,Mobile,30.6783,-88.1162,315502
Fort Collins,Colorado,Larimer,40.5478,-105.0656,312666
Asheville,North Carolina,Buncombe,35.5704,-82.5536,312507
Santa Clarita,California,Los Angeles,34.4175,-118.4964,312446
St. Paul,Minnesota,Ramsey,44.9477,-93.104,308096
Antioch,California,Contra Costa,37.9789,-121.7958,302419
Lakeland,Florida,Polk,28.0556,-81.9545,302284
Trenton,New Jersey,Mercer,40.2236,-74.7641,290716
Lincoln,Nebraska,Lancaster,40.809,-96.6788,289490
Springfield,Missouri,Greene,37.1943,-93.2916,288090
Anchorage,Alaska,Anchorage,61.1508,-149.1091,288000
Plano,Texas,Collin,33.0502,-96.7487,287677
Irvine,California,Orange,33.6772,-117.7738,287401
Davenport,Iowa,Scott,41.5563,-90.6052,285362
Rockford,Illinois,Winnebago,42.2597,-89.0641,282762
Newark,New Jersey,Essex,40.7245,-74.1725,282011
South Bend,Indiana,St. Joseph,41.6767,-86.2696,280498
Shreveport,Louisiana,Caddo,32.4656,-93.7956,280062
Round Lake Beach,Illinois,Lake,42.379,-88.0811,279381
Savannah,Georgia,Chatham,32.0281,-81.1784,276295
Myrtle Beach,South Carolina,Horry,33.7096,-78.8843,275579
Chula Vista,California,San Diego,32.6281,-117.0145,274492
Eugene,Oregon,Lane,44.0563,-123.1173,273439
Canton,Ohio,Stark,40.8075,-81.3677,269418
Lubbock,Texas,Lubbock,33.5659,-101.8878,267648
Reading,Pennsylvania,Berks,40.34,-75.9267,267155
Winter Haven,Florida,Polk,28.0118,-81.7017,267069
Salem,Oregon,Marion,44.9231,-123.0246,266804
St. Petersburg,Florida,Pinellas,27.7931,-82.6652,265351
Lafayette,Louisiana,Lafayette,30.2084,-92.0323,264357
Laredo,Texas,Webb,27.5629,-99.4875,262491
Jersey City,New Jersey,Hudson,40.7161,-74.0682,262075
Concord,North Carolina,Cabarrus,35.3933,-80.6366,261801
Columbus,Georgia,Muscogee,32.51,-84.8771,261445
Chandler,Arizona,Maricopa,33.2826,-111.8516,261165
McKinney,Texas,Collin,33.2015,-96.6669,258277
Scottsdale,Arizona,Maricopa,33.6872,-111.8651,258069
Killeen,Texas,Bell,31.0754,-97.7296,258009
Tallahassee,Florida,Leon,30.4551,-84.2526,257601
Peoria,Illinois,Peoria,40.752,-89.6153,256286
Wilmington,North Carolina,New Hanover,34.21,-77.8866,255616
Montgomery,Alabama,Montgomery,32.3473,-86.2666,254634
Gilbert,Arizona,Maricopa,33.3101,-111.7463,254114
Glendale,Arizona,Maricopa,33.5791,-112.2311,252381
North Las Vegas,Nevada,Clark,36.288,-115.0901,251974
Chesapeake,Virginia,Chesapeake,36.6778,-76.3024,244835
Barnstable,Massachusetts,Barnstable,41.6722,-70.3599,242847
Norfolk,Virginia,Norfolk,36.8945,-76.259,242742
Fremont,California,Alameda,37.5265,-121.9852,241110
Kennewick,Washington,Benton,46.1978,-119.1732,240735
Garland,Texas,Dallas,32.91,-96.6305,239928
Irving,Texas,Dallas,32.8584,-96.9702,239798
Visalia,California,Tulare,36.3276,-119.3269,237386
Atlantic City,New Jersey,Atlantic,39.3797,-74.4527,237054
