,restaurant_id,address,cuisine,city,name,latitude,longitude
5254,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5255,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5256,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5257,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5258,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5259,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5260,AVwdfOCBByjofQCxpmij,173 W Broadway,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",Salt Lake City,Metropolitan,40.762734,-111.89581
5261,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5262,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5263,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5264,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5265,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5266,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5267,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5268,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5269,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5270,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5271,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
